id,car_brand,car_registration_year,car_eng_pow,customer_age,postal_code,claim_amount,policy_id,marital_status
513,Mercury,1992,463,60,2525-675,356.83,P85803,2
514,Acura,2000,280,71,,1748.97,P21320,2
515,BMW,2005,462,40,6131,2142.49,P71538,2
516,Mercedes-Benz,2001,192,95,,157.63,P44990,1
517,BMW,2009,387,93,612500,1990.64,P05663,1
518,Ford,2004,480,70,,2471.77,P08956,2
519,Toyota,2012,243,44,347780,855.55,P22871,2
520,Chrysler,1995,428,34,899-3221,,P90683,
521,Ford,2000,330,95,,1259.67,P83114,1
522,Land Rover,2010,78,89,7540-051,1436.44,P41440,1
523,Mitsubishi,2011,200,88,,706.04,P63278,2
524,Volkswagen,2000,483,70,,2069.66,P84670,2
525,Mazda,2002,92,80,,1991.09,P60360,2
526,GMC,2004,128,85,76420-000,336.76,P69563,1
527,Maserati,2008,311,100,,1722.29,P21046,2
528,Dodge,1995,73,50,45680-000,427.9,P39731,2
529,Ford,2008,69,44,7000,753.57,P84601,2
530,Lincoln,1990,,,,955.87,P09530,2
531,Dodge,1998,165,18,,1096.48,P67027,2
532,BMW,2006,290,31,,1749.18,P45013,1
533,Pontiac,1986,348,71,37005,335.01,P03613,2
534,Chevrolet,2003,,,,1343.64,P90460,1
535,Aston Martin,2012,341,79,99-140,1770.2,P06665,1
536,Volkswagen,1965,319,93,,1885.71,P15944,1
537,Mitsubishi,2005,285,95,,1252.49,P16710,1
538,GMC,1992,96,54,93816,565.56,P58068,2
539,Toyota,1999,233,87,498-0062,1325.07,P54289,2
540,BMW,2010,122,81,,2302.75,P33209,2
541,Mitsubishi,1995,,,,1813.86,P24868,1
542,Ford,1996,150,32,,640.24,P91789,2
543,Dodge,1999,328,76,,573.8,P28649,2
544,Oldsmobile,1998,301,84,186304,1282.29,P60647,2
545,Porsche,2012,103,62,51571 CEDEX 2,833.49,P97401,1
546,Dodge,1994,387,40,330 26,1933.56,P48332,1
547,Toyota,1997,438,88,,1315.32,P74102,2
548,Mitsubishi,1992,108,85,,591.07,P88078,1
549,Buick,1995,323,24,737 47,,P98770,
550,Chevrolet,2000,271,74,,2045.72,P86217,1
551,Ford,2008,457,47,,891.28,P42760,1
552,Acura,2010,172,32,5614,1201.01,P22524,2
553,Lincoln,1985,191,47,,793.48,P86319,2
554,Nissan,1992,153,18,NR34,1241.36,P69753,1
555,Saab,2001,78,64,,744.42,P74697,1
556,Hummer,2003,494,94,,2025.65,P64931,2
557,Porsche,1993,,,,2051.58,P32576,2
558,Mercedes-Benz,2011,390,72,9023,570.84,P52807,1
559,Buick,1990,440,54,792 92,1254.35,P13620,1
560,Hyundai,1994,176,48,5419,370.99,P95516,2
561,GMC,2000,440,79,,2326.82,P98030,2
562,Cadillac,2006,292,98,,1955.55,P41215,1
563,Lincoln,1984,424,32,,2250.02,P43511,1
564,BMW,2002,76,28,,1177.95,P53218,2
565,Chevrolet,1994,311,44,4608,1163.19,P54252,1
566,Acura,2008,79,95,,64.03,P95734,1
567,Lexus,2005,120,71,,23.46,P50243,2
568,Toyota,2011,463,70,7209,1017.08,P94669,1
569,Lincoln,2012,141,55,453209,2311.94,P64149,2
570,Pontiac,1994,378,34,10411,1673.09,P59465,1
571,Ford,2011,316,34,,1052.79,P28810,2
572,GMC,1997,184,81,,482.44,P58272,2
573,Volkswagen,2009,230,52,79260-000,2018.08,P38578,1
574,Honda,1996,411,77,,2349.54,P96766,1
575,Buick,1995,125,41,05-555,1181.84,P52728,2
576,GMC,2004,72,69,745 44,418.04,P05659,1
577,Aston Martin,2011,177,50,,587.83,P14754,1
578,Pontiac,2000,76,85,,609.58,P92040,2
579,Porsche,1989,408,38,,1675.77,P55610,2
580,Chevrolet,1996,107,97,6714,866.79,P07238,1
581,Mercedes-Benz,2007,483,40,,858.17,P19309,2
582,Lexus,2010,382,75,71009 CEDEX,1647.09,P85473,2
583,Toyota,2002,146,29,,1628.14,P95065,2
584,Hyundai,2001,393,71,78000-000,654.98,P75133,1
585,Cadillac,2005,63,29,98148,2439.84,P55585,2
586,Porsche,1991,50,31,641330,2394.68,P44999,2
587,Chevrolet,1997,168,38,,872.15,P90351,2
588,Chevrolet,1973,241,88,38-512,143.84,P86344,2
589,BMW,2008,294,83,,2225.26,P60786,1
590,Toyota,2011,382,22,,216.48,P38282,1
591,Lincoln,2008,103,39,,1188.42,P79493,2
592,Kia,1999,217,40,,905.16,P80420,1
593,Chevrolet,2007,184,75,,2096,P79178,1
594,Dodge,2009,396,79,5172,,P06986,
595,Ford,2013,192,67,,508.09,P21715,1
596,Toyota,1995,121,33,167032,213.26,P01012,2
597,Ford,2002,489,27,94913,2328.43,P11404,1
598,Ford,1992,79,33,21-107,1638.48,P46726,2
599,Mitsubishi,2004,465,31,,2311.05,P94555,1
600,Ford,2003,89,92,5702,649.41,P45015,2
601,Nissan,2006,117,62,,158.71,P25391,2
602,Dodge,2001,451,72,12104 CEDEX,2249.55,P14170,1
603,Dodge,1999,312,69,,808.53,P82254,2
604,Cadillac,2001,165,96,,209.05,P76375,1
605,Cadillac,1992,58,24,,2162.89,P96126,2
606,Acura,2003,294,91,,1786.44,P16804,1
607,Toyota,2009,461,29,,1564.2,P83546,2
608,Jaguar,2000,461,96,,2297,P12150,2
609,Cadillac,1997,432,43,,1307.03,P99268,2
610,Volvo,2010,376,24,462159,2265.39,P93561,1
611,Toyota,2011,115,89,,80.83,P91500,2
612,Ford,1995,237,48,,298.37,P95547,1
613,Bentley,2009,421,52,98168,1425.45,P06113,2
614,Kia,2008,120,56,,,P01445,
615,Chevrolet,2008,466,80,,2213.21,P73391,2
616,Ford,2005,477,36,,821.64,P65284,2
617,Acura,2007,60,33,,1487.54,P54810,1
618,Toyota,1997,330,44,94946 CEDEX 9,102.09,P02088,2
619,Volkswagen,1997,,,,1183.61,P16855,1
620,Dodge,1995,424,63,606525,1345.13,P08471,1
621,Lamborghini,1990,441,91,2420-144,555.17,P01637,2
622,Isuzu,1994,152,53,,1989.71,P91333,2
623,GMC,1994,327,42,7416,111.69,P10348,1
624,Volkswagen,2008,214,49,,904.66,P16341,1
625,Hyundai,2009,334,73,,765.47,P06301,2
626,Chevrolet,2004,299,92,,,P30078,
627,Plymouth,1994,167,89,26301,1826.48,P32403,1
628,Cadillac,2001,377,19,,,P31092,
629,Chevrolet,2001,77,43,,2434.72,P31310,1
630,Audi,2010,87,80,,512.57,P72313,1
631,Hyundai,2004,208,19,818-0138,1694.13,P27916,1
632,Infiniti,2007,79,88,,1166.38,P05075,2
633,Jeep,2007,361,97,34194 CEDEX 5,2108.07,P34020,2
634,GMC,2007,320,37,64-500,168.78,P17524,2
635,Chevrolet,2008,358,38,918,1696.86,P34006,2
636,Suzuki,1997,90,33,666921,655.28,P65278,1
637,Mazda,2012,195,43,,854.22,P39115,2
638,Mazda,1994,284,69,46862,,P74728,
639,Chrysler,2005,390,54,T9G,467.83,P39123,1
640,BMW,2007,334,62,,1859.94,P27012,2
641,Jaguar,1998,339,85,1267,716.58,P16785,1
642,Jeep,2006,121,94,,,P27958,
643,GMC,1994,429,84,,2170.99,P92202,1
644,GMC,1999,400,86,42304 CEDEX,2149.3,P23064,2
645,Buick,1985,158,79,,1567.1,P52985,1
646,Infiniti,1992,273,90,33158,1382.67,P15912,2
647,Lincoln,1985,385,63,2808,1084.97,P87268,2
648,Ford,2003,159,35,1410,265.84,P33720,2
649,Chevrolet,1994,64,37,,255.7,P37195,1
650,GMC,2008,382,16,9104,1479.4,P82143,2
651,BMW,2005,439,60,46964,2286.35,P98385,2
652,Mitsubishi,2012,466,71,89294-000,1206.81,P45935,2
653,Cadillac,2012,361,69,17020,268.99,P36631,2
654,Dodge,2001,403,18,,2218.49,P97886,1
655,Isuzu,2007,343,93,65160,277.56,P57679,2
656,Lexus,1997,306,33,,232.33,P23269,1
657,Saab,1987,445,24,,634.99,P08501,2
658,Jaguar,2003,315,64,AD600,1054.68,P90065,1
659,Chevrolet,2002,245,23,,196.57,P46904,1
660,Kia,2011,97,45,4720-609,590.52,P01389,1
661,Lexus,2013,234,92,78067 CEDEX,2385.84,P11722,1
662,Chevrolet,1994,83,48,,1942.99,P65638,1
663,GMC,1993,417,33,416010,1586.54,P34065,1
664,BMW,2006,196,46,1950,1994.6,P16684,2
665,Dodge,2010,141,49,,718.6,P39177,2
666,Fairthorpe,1960,482,86,92883,785.37,P02204,2
667,Volkswagen,1986,225,100,646860,1836.79,P15856,2
668,Infiniti,1995,56,69,11403,1554.53,P35982,1
669,Toyota,2010,412,77,,17.57,P87732,2
670,Acura,1997,164,61,,668.3,P10612,2
671,Toyota,2008,393,95,,1167.06,P79364,1
672,Mitsubishi,1997,164,44,861088,1479,P42514,2
673,Jeep,2005,351,93,675 26,1466.64,P63807,1
674,Ford,1999,443,18,,2116.68,P85130,1
675,Ford,2013,414,36,9303,1624.21,P07587,2
676,Mitsubishi,2005,261,81,,,P48257,
677,Cadillac,2006,461,36,347850,955.31,P87725,2
678,Bentley,2011,263,20,,824.18,P25720,2
679,Mitsubishi,2000,302,74,,392.15,P64126,1
680,Chevrolet,1969,248,69,32350,1802.97,P88134,2
681,Mercedes-Benz,2002,274,64,,1834.14,P21526,1
682,Mazda,2006,264,65,140093,449.57,P97277,2
683,Mazda,2006,50,98,69670-000,1851.3,P27426,2
684,BMW,2011,175,39,,1202.1,P83897,2
685,Chrysler,2005,448,54,169 35,2030.78,P10006,1
686,Mitsubishi,2008,75,87,2714,1587.87,P08013,2
687,Volkswagen,1999,188,42,,2494.66,P06742,2
688,Pontiac,1989,211,62,,2207.54,P31622,1
689,Nissan,2000,380,31,,25.1,P77134,2
690,Ford,1987,377,40,,2266.19,P73041,1
691,Saturn,2000,346,90,41918,977.17,P17918,2
692,Nissan,2009,226,54,30502,2223.23,P84571,1
693,Lotus,2011,140,26,,1572,P86464,1
694,Morgan,2007,164,41,,2097.78,P14944,1
695,Toyota,1998,239,37,,2389.84,P01520,1
696,BMW,2008,103,49,3011,1303.95,P79842,1
697,Volkswagen,1984,302,96,,151,P55559,1
698,Chevrolet,2004,412,81,420-0949,682.2,P39941,1
699,Toyota,2002,426,83,,1819.9,P71858,2
700,Kia,2000,250,58,,1847.69,P12465,2
701,BMW,2010,208,92,,1734.33,P19419,2
702,GMC,2004,382,100,,2481.85,P01435,2
703,Chevrolet,2001,399,92,,1619.88,P49903,2
704,Honda,2011,118,39,6040-104,454.99,P20514,2
705,Volkswagen,1990,454,49,393917,43.4,P71768,1
706,Chevrolet,2006,280,80,461 58,1937.47,P90218,1
707,Ford,2001,50,67,,955.98,P72041,2
708,Mercury,2003,131,58,9221,476.52,P39990,2
709,Jaguar,2013,145,90,87270-000,1963.42,P12191,1
710,Chevrolet,2011,394,24,,793.33,P92224,1
711,Lincoln,2012,122,85,,1229.69,P78888,2
712,Acura,2005,150,80,1841,1633.65,P02254,1
713,Mercury,2008,117,75,,573.15,P39855,2
714,GMC,1994,167,69,188355,1333.75,P20503,2
715,Hyundai,2002,278,94,,402.21,P94299,1
716,Chrysler,2004,409,72,88817,1165.81,P26071,1
717,Aston Martin,2010,474,64,3410,1045.57,P27947,1
718,Saab,1992,398,29,655735,2282.09,P64343,2
719,Dodge,1993,316,47,919-0201,,P49814,
720,GMC,1995,112,74,,1005.28,P61590,1
721,Audi,1986,94,77,78105 CEDEX,1518.9,P45987,2
722,Chevrolet,1996,126,75,340 04,312.73,P83446,2
723,Land Rover,1994,339,96,75390 CEDEX 08,1229.26,P46900,2
724,Ford,1992,208,62,,1642.23,P05516,1
725,Acura,2011,61,56,19191,1901.05,P43209,1
726,Acura,2010,305,98,9600,51.03,P23910,1
727,Toyota,2011,470,64,,2143.96,P50745,2
728,Audi,1990,204,21,,1048.97,P33214,2
729,Pontiac,1986,322,89,,22.63,P89628,1
730,Dodge,1970,476,58,35401,2431.39,P53648,2
731,Mazda,1992,445,36,,14.57,P90183,1
732,Chevrolet,2003,497,35,,1754.94,P57758,1
733,Mercedes-Benz,1985,54,30,61150,1999.97,P85833,2
734,Mitsubishi,1988,159,85,,2075.39,P54269,2
735,Mazda,1992,277,62,,1931.59,P01079,1
736,Volkswagen,2010,224,93,238703,2473.58,P44241,2
737,GMC,2006,485,34,,1224.02,P18651,1
738,Oldsmobile,1997,322,60,,461.72,P44504,1
739,Ford,2010,104,96,,889.57,P01145,2
740,Mazda,2001,366,54,,2397.1,P07578,1
741,Nissan,1999,449,38,2104,436.88,P33612,1
742,Dodge,2000,214,90,42-674,1398.61,P31095,2
743,Lotus,1987,445,73,4137,1321.73,P46794,1
744,Toyota,1998,270,43,25071 CEDEX 9,2484.89,P97568,2
745,Infiniti,2011,408,34,,2338.27,P90353,1
746,Dodge,1994,235,38,,1778.88,P61558,2
747,Chevrolet,2004,442,37,118 55,1339.91,P01101,2
748,Audi,2011,352,84,704-8124,717.84,P52697,1
749,Mercedes-Benz,2001,443,52,,1075.02,P65767,1
750,Aston Martin,2010,336,61,353254,,P17895,
751,Acura,1994,139,48,32222,2158.48,P41107,2
752,Volkswagen,2008,50,19,4611,252.26,P00788,1
753,Geo,1992,184,27,,1972.1,P33210,1
754,Dodge,1994,365,56,,66.46,P82284,2
755,Pontiac,1993,60,86,6700,1459.08,P25867,1
756,GMC,2005,425,51,,341.51,P33424,2
757,Nissan,2004,265,41,,1790.99,P48824,1
758,Buick,1990,201,58,2440-176,1597.53,P44563,2
759,Mitsubishi,2002,63,78,4402,2488.82,P72473,1
760,Honda,1993,261,44,,496.38,P27397,2
761,Audi,2012,268,37,46547,1468.53,P44742,2
762,GMC,2004,247,30,,2425.94,P98851,1
763,Oldsmobile,1997,189,31,,331.28,P65578,2
764,Maserati,2005,446,23,252257,1494.91,P38456,2
765,Ford,1991,105,63,613641,1473.91,P01169,1
766,Mazda,1984,66,32,,809.63,P46525,1
767,Chevrolet,1998,458,22,4540-379,1730.86,P78194,1
768,Lotus,1995,114,74,34000,,P37539,
769,Infiniti,2005,127,92,,1910.84,P68312,1
770,Volkswagen,2007,328,18,,1227.1,P54668,1
771,Land Rover,2001,98,77,,986.72,P43468,1
772,Plymouth,1996,218,77,,1562.59,P09880,1
773,Hyundai,1994,456,56,5430-236,2083.47,P17033,2
774,Mercury,1997,314,54,2860-278,2221.96,P14071,1
775,Cadillac,2012,423,55,07309 CEDEX,411.58,P65492,1
776,Ford,2000,313,59,V1A,1589.59,P26576,2
777,Hummer,1997,445,71,,359.49,P64129,1
778,Dodge,2000,64,38,,,P58855,
779,Chevrolet,2012,209,56,,1082.11,P55090,2
780,Bentley,2006,229,37,,1964.1,P19581,2
781,Pontiac,1985,460,47,6671,372.3,P24725,1
782,GMC,2005,171,91,9227,,P65781,
783,Mercedes-Benz,2002,276,58,,2238.84,P49443,1
784,Mazda,2006,108,61,182170,917.58,P01644,1
785,Volvo,1992,168,26,6414,2026.89,P32395,2
786,Mazda,2006,122,19,,1310.79,P63506,2
787,Chevrolet,2010,124,22,,329.53,P32599,2
788,Toyota,2008,358,92,361 31,2201.1,P63034,2
789,BMW,1989,297,72,,1865.23,P50200,1
790,Hyundai,2005,77,22,215662,2185.3,P86797,1
791,Lexus,2011,324,25,,79.32,P97524,1
792,Cadillac,2008,265,25,,430.18,P08348,2
793,Chevrolet,1995,140,46,37705 CEDEX,2079.3,P07694,2
794,Studebaker,1963,178,32,,320.47,P86729,1
795,Hummer,2008,434,24,,933.13,P80772,1
796,Dodge,1992,486,23,,1843.01,P85752,1
797,Volkswagen,1988,204,91,74-120,573.29,P41468,1
798,Toyota,1978,343,46,,1979.92,P19067,2
799,Lamborghini,2012,473,34,,1870.62,P27770,1
800,Maserati,1989,247,46,5401,1474.69,P52081,1
801,Cadillac,2007,238,17,869-0502,703.99,P47801,1
802,Mitsubishi,2011,249,90,63120,,P55488,
803,Acura,2005,206,20,5410,1920.88,P32554,2
804,Ford,2010,372,37,,490.53,P58612,2
805,Audi,2002,338,62,,366.72,P56794,1
806,Honda,2003,420,79,,1039.56,P65369,2
807,Lexus,2004,144,33,,531.61,P54836,1
808,GMC,2005,386,91,,1852.75,P30220,2
809,Mercedes-Benz,2004,299,69,,465.85,P96786,2
810,Dodge,2003,233,54,,,P16670,
811,Lexus,1994,302,44,,1709.39,P72712,2
812,Dodge,1999,58,35,,1655.23,P04303,2
813,Honda,2008,398,32,1761,565.84,P69694,1
814,Porsche,2004,499,60,62004 CEDEX,2241.43,P42787,2
815,Mitsubishi,1988,66,67,42-310,781.78,P89383,1
816,Honda,1997,90,36,,2467.62,P30389,2
817,Chevrolet,2007,469,96,6711,,P64090,
818,Saturn,2000,157,99,2015,,P27469,
819,Lincoln,2013,240,54,9202,1048.78,P16892,1
820,Mitsubishi,1995,478,92,,1072.85,P62305,2
821,Mercedes-Benz,2010,233,80,,1358.52,P28994,2
822,Cadillac,2003,398,36,,688.09,P27895,2
823,GMC,2005,134,77,,177.74,P77231,2
824,Ford,2007,303,16,,,P74205,
825,Toyota,1992,321,32,692438,300.26,P82522,1
826,Chrysler,2001,392,71,2865-493,1240.88,P12277,2
827,Mercedes-Benz,2002,494,64,,1345.01,P07968,1
828,Audi,2005,485,27,,248.16,P72430,1
829,Hyundai,2003,223,36,76029 CEDEX,329.28,P42566,1
830,GMC,1995,60,42,,301.57,P68275,2
831,Mercury,1988,492,39,21072 CEDEX,2203.4,P02893,1
832,Acura,2002,270,87,506 01,1025.93,P29413,1
833,GMC,2005,246,47,,254.41,P30336,1
834,GMC,2006,214,84,,221.39,P35537,2
835,Volvo,2011,210,48,,1493.53,P67308,2
836,Porsche,2011,348,100,417 43,1123.54,P39319,1
837,Cadillac,2009,203,88,5807,416,P34424,2
838,Chevrolet,1954,113,60,3808,,P02269,
839,Pontiac,2002,124,89,MD-6401,588.35,P87440,2
840,Mercedes-Benz,1996,113,35,,654.25,P00670,1
841,Ford,2013,88,19,,2264.41,P92876,2
842,Mercedes-Benz,2004,,,,1617.84,P11508,2
843,Buick,1986,453,34,,2314.4,P67117,1
844,Audi,2007,196,32,,57.31,P53803,1
845,Volkswagen,2001,254,80,,1754.42,P42908,1
846,Suzuki,1989,283,90,79101,2466.09,P91536,1
847,Ford,1992,429,53,20226,1091.76,P53467,2
848,Volvo,2007,420,50,5402,1091.8,P01677,2
849,Ford,2001,426,48,868-0825,269.78,P44115,2
850,Ferrari,2012,368,21,4550-455,619.07,P78133,1
851,Mitsubishi,1990,207,72,761-4146,236.3,P56179,2
852,Audi,1987,89,28,,301.66,P09770,1
853,Acura,2005,211,76,,37.44,P59830,1
854,Mitsubishi,2006,128,60,136 68,2339.35,P24051,2
855,Ford,1996,461,33,,1396.83,P61430,2
856,Nissan,1998,313,86,WC2H,710.87,P60556,1
857,Pontiac,1990,68,65,429 42,2110.26,P57533,2
858,Pontiac,1992,240,62,,,P70495,
859,Ford,1955,119,80,2903,360.42,P14207,2
860,Mazda,1989,303,28,1035,425.4,P46116,1
861,Buick,1986,395,37,,1372.06,P22464,1
862,Pontiac,1990,301,34,,2064.79,P39490,2
863,Lexus,1989,150,22,,1822.77,P81277,2
864,GMC,1997,,,,1442.62,P54415,1
865,Dodge,1994,488,69,989-2433,576.89,P29618,2
866,Acura,1993,128,42,,1583.56,P78406,2
867,Lexus,2007,443,65,,2223.51,P55343,2
868,Subaru,1996,135,48,89790-000,1744.67,P09327,1
869,Hyundai,2005,422,77,84170,1495.35,P14201,1
870,Suzuki,2000,421,52,17000-000,758.88,P39655,2
871,Lotus,1996,451,75,,146.17,P42268,1
872,Mitsubishi,2004,365,67,,2439.23,P93089,1
873,Oldsmobile,1998,388,17,352685,1249.75,P46472,2
874,GMC,1995,328,56,9307,643.28,P31165,2
875,Buick,1997,369,26,,630.11,P31449,2
876,Isuzu,2004,442,55,45933 CEDEX 9,1253.26,P89004,1
877,Cadillac,2004,407,72,96960,2245.68,P97203,2
878,Mercury,1997,193,73,396458,867.32,P95260,1
879,Mazda,1993,250,67,468 44,830.98,P57778,2
880,GMC,1997,54,25,,972.62,P34897,2
881,Bentley,2010,436,50,,702.43,P32174,2
882,Mercury,2002,463,73,,1882.69,P86509,2
883,GMC,1996,455,94,63-435,1393.06,P00197,2
884,Land Rover,1995,97,68,,938.9,P51476,2
885,Honda,1997,353,34,,1138.48,P53544,1
886,Mazda,2000,150,73,,1533.15,P70867,2
887,Ford,1966,318,50,39550-000,1943.42,P89337,1
888,Cadillac,2002,448,55,31019 CEDEX 2,1390.95,P31454,1
889,Volkswagen,2000,76,23,,1291.06,P37063,2
890,Saab,1986,236,47,96960,264.86,P34680,2
891,Isuzu,2009,194,91,,1169.72,P82221,2
892,Chevrolet,2000,458,72,68020 CEDEX,768.11,P92921,2
893,Ford,2000,101,73,397743,823.73,P28238,2
894,Chevrolet,2004,452,59,70201,463.88,P56512,1
895,Suzuki,2004,457,82,16025 CEDEX,1813.24,P98395,2
896,Ford,1998,392,59,,65.18,P02759,1
897,Buick,1995,193,73,891-3101,1790.99,P27382,2
898,Hummer,1998,394,58,3185,810.97,P44542,1
899,GMC,2009,258,32,19003,2338.01,P11268,2
900,Hyundai,2003,345,90,4611,,P08562,
901,BMW,2007,154,30,70174,2449.4,P22841,1
902,Ford,2001,250,34,55140,,P14056,
903,Suzuki,2006,219,24,,1985.96,P70311,1
904,Dodge,1998,100,22,,2345.45,P92620,2
905,Toyota,1999,205,16,4950-416,679.38,P38044,1
906,Chevrolet,2001,98,57,,2280.57,P84115,2
907,Mercedes-Benz,1993,149,27,452974,1051.01,P77173,1
908,Toyota,2008,53,98,,2188.8,P68801,1
909,Mitsubishi,1992,415,24,253418,705.63,P61005,1
910,Mitsubishi,1996,344,74,07509 CEDEX,1607.84,P74042,1
911,Chevrolet,2009,146,25,34110,644.87,P17032,1
912,MINI,2008,136,75,8427,1618.29,P20279,2
913,Toyota,2006,,,,2208.71,P06686,1
914,Lincoln,2007,298,21,,361.26,P18613,1
915,Chevrolet,1961,491,52,357433,1478.75,P72795,1
916,Lincoln,1989,333,39,,12.71,P69742,2
917,Ford,2012,467,93,,1358.22,P14492,1
918,Mitsubishi,2002,382,35,,97.67,P37318,1
919,Volvo,1998,223,63,24-204,1247.59,P83373,1
920,Mitsubishi,1996,185,95,,926.64,P37402,1
921,Nissan,1997,133,62,9265,994.28,P68249,1
922,Pontiac,1970,283,78,,479.05,P79577,1
923,Buick,1993,59,85,,1957.64,P18600,2
924,Ford,2001,294,22,507 32,478.34,P31896,2
925,Toyota,1997,394,95,68610-000,340.8,P09932,1
926,Mercedes-Benz,1984,207,19,,225.95,P60283,1
927,Suzuki,2007,367,34,,2185.49,P68658,2
928,Mercedes-Benz,1986,238,84,J5M,106,P50438,2
929,Nissan,2005,230,90,97-217,358.06,P46728,1
930,Chevrolet,1994,326,26,92924 CEDEX,1898.39,P06386,1
931,Toyota,2003,393,64,3503,1040.89,P78494,2
932,Mitsubishi,1998,433,56,74-400,1545.22,P11052,1
933,Lincoln,1985,309,51,,299.94,P33956,1
934,Aston Martin,2010,,,,173.83,P01373,1
935,Honda,2000,200,68,346580,101.65,P01317,1
936,Toyota,2002,350,19,6331,1884.15,P09753,2
937,BMW,2012,299,40,,2180.24,P94839,2
938,Infiniti,1994,221,49,,1118.69,P83222,1
939,Ford,1986,449,25,,1519.34,P92475,1
940,Ford,2010,257,61,,982.57,P74119,2
941,Mazda,1993,420,71,13343 CEDEX 15,112.83,P49621,2
942,GMC,2004,362,68,6512,379.27,P00698,2
943,Mitsubishi,2004,266,39,,1615.69,P25435,1
944,Chrysler,1997,342,51,7100-656,1102.57,P92678,1
945,Mazda,2004,481,16,,,P48944,
946,BMW,2006,283,45,26-640,2250.02,P76193,2
947,Plymouth,1992,460,59,,,P32721,
948,MINI,2012,396,69,5911,2312.65,P08256,1
949,Studebaker,1962,147,70,15500-000,590.14,P11298,1
950,Buick,2008,89,34,161453,2338.12,P97449,1
951,Ford,1990,242,86,,2031.15,P96800,1
952,Toyota,1998,197,55,594 52,1105.6,P60114,2
953,Toyota,2008,,,,,P39313,
954,Maserati,2012,492,34,1676,1304,P24024,2
955,GMC,1993,73,94,6330,2168.84,P31116,1
956,Nissan,2008,153,33,12305,1929.29,P54050,2
957,Daewoo,2001,446,53,,691.24,P67130,1
958,Ford,1995,73,28,,806.8,P30714,2
959,Volkswagen,2008,297,73,07900-000,563.32,P19498,2
960,Toyota,1999,267,71,181 31,2315.75,P88824,2
961,Chrysler,2001,149,99,,1264.02,P05542,2
962,Lexus,2009,416,41,473 01,2322.15,P18262,2
963,Maserati,2005,174,20,3230,1751.84,P88400,2
964,Subaru,2010,234,98,,189.5,P54804,2
965,Chevrolet,1995,290,39,92848 CEDEX,1302.39,P88032,2
966,Oldsmobile,2002,88,69,,2259.81,P15304,1
967,Cadillac,2000,390,42,,2478.35,P41826,2
968,Mercedes-Benz,1993,67,56,89714,2395.71,P99851,1
969,BMW,2005,434,48,439 83,925.95,P72898,2
970,Pontiac,1988,403,87,,1559.23,P20427,2
971,Honda,1988,286,31,,1443.98,P04333,2
972,Ford,2004,293,84,243-0007,1663.11,P93307,1
973,Lincoln,1994,105,78,6227,2257.77,P44311,2
974,Dodge,1998,236,25,49945-000,1201.46,P02434,1
975,Subaru,1991,486,86,,,P72291,
976,Geo,1995,68,65,,1747.45,P07227,2
977,Lexus,2001,366,35,671945,1603.53,P01843,2
978,Dodge,1992,188,57,,327.99,P03926,2
979,Jaguar,2002,188,58,,1080.8,P06570,2
980,Lexus,1996,190,42,,597.54,P66378,1
981,Buick,1992,279,62,,667.13,P73715,2
982,Subaru,2010,69,96,,1103.35,P45416,2
983,GMC,2010,319,40,1430,,P74768,
984,Chevrolet,2008,456,24,,713.77,P58700,1
985,GMC,2006,253,95,,1986.56,P98739,1
986,Lexus,2010,335,79,,1657.08,P32021,2
987,Kia,2004,214,64,91186,1465.72,P67463,1
988,Infiniti,1997,315,30,,2333.25,P43106,2
989,Suzuki,2009,142,56,67451,1089.64,P32034,1
990,Ford,2005,405,19,1218,1690.31,P35223,1
991,Ford,1996,243,73,83-020,,P04287,
992,Subaru,2002,392,49,141850,2310.24,P21205,1
993,Pontiac,1987,148,84,,500.26,P92194,1
994,Hyundai,2008,277,62,,1134.13,P25958,1
995,Honda,2003,420,89,88553,2211.52,P76594,2
996,Dodge,2004,412,17,78550-000,190.54,P59452,2
997,Lexus,2010,494,18,,2207.58,P64635,1
998,Maserati,2009,373,95,,1649.3,P46455,2
999,Lexus,2012,398,93,,785.22,P02886,2
1000,Mercedes-Benz,1997,59,100,62-230,415.25,P42469,2
